,Unnamed: 0,index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,price (usd),price_range
240,240,251,asus,Asus Vivobook S15 OLED 2023 S5504VA-MA953WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11),105739,71,intel,core i9,14,20,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,2880,1620,windows,1,1268.868,high
241,241,252,asus,Asus Vivobook 15 2023 X1504VA-NJ324WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),42990,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,515.88,low
242,242,253,honor,Honor MagicBook X14 2023 FRI-F56 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),54990,66,intel,core i5,8,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1,659.88,low
243,243,254,lenovo,Lenovo E41-55 Laptop (Athlon Silver 3050U/ 8GB/ 256GB SSD/ Win11),21990,53,amd,other,2,2,8,SSD,256,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1,263.88,low
244,244,255,lenovo,Lenovo V15 G3 82TTA00VIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/Win11),33400,53,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,400.8,low
245,245,256,hp,HP Victus 15-fb0108AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),50990,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1,611.88,low
246,246,257,dell,Dell Vostro 3425 M552321WIN9S Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),50990,68,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1,611.88,low
247,247,258,msi,MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),43990,62,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1,527.88,low
248,248,259,acer,Acer Extensa 15 EX215-33 Laptop (Intel Core i3 N305/ 8GB/ 256GB SSD/ Win11 Home),27990,49,intel,core i3,8,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,335.88,low
249,249,260,msi,MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),105990,79,intel,core i7,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2,1271.88,high
